City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
430,Omboue,GA,74.89,overcast clouds,-1.5746,9.2618,Hotel Olako
432,Ballina,AU,73.58,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
434,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
436,Aksu,CN,52.36,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
438,Meulaboh,ID,78.08,overcast clouds,4.1363,96.1285,Kost Pria
439,Kruisfontein,ZA,54.88,few clouds,-34.0033,24.7314,Oyster Bay House Rental
442,Ode,NG,70.41,overcast clouds,7.7899,5.7117,MORALAB HOTEL
443,Canar,EC,51.84,overcast clouds,-2.55,-78.9333,Hostería La Condesa
444,Rio Grande,BR,54.95,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
446,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
450,Nelson Bay,AU,77.09,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
451,Okitipupa,NG,75.51,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
452,Ajdabiya,LY,68.52,clear sky,30.7554,20.2263,Almadina Hotel
453,Anju,KP,56.32,overcast clouds,39.6178,125.6647,Super Secret Russian Base
456,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Punto de encuentro
458,Huron,US,70.68,broken clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
459,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
460,Save,BJ,73.78,overcast clouds,8.0425,2.486,Restaurant Plazza Hotel
461,Beckley,US,70.29,clear sky,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
462,Progreso,MX,82.51,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
463,Tuatapere,NZ,67.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
464,Wewak,PG,82.67,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
466,Vanimo,PG,80.2,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
467,Riohacha,CO,84.52,overcast clouds,11.5444,-72.9072,Hotel Taroa
468,Jasper,US,68.05,overcast clouds,37.2001,-94.3502,Guest House Motel
469,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
470,Saint-Felicien,CA,50.68,few clouds,48.6501,-72.4491,Hôtel du Jardin
471,Namuac,PH,82.76,overcast clouds,18.6109,121.1657,Mlin Hotel
473,San Vicente,AR,63.99,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
474,San Juan,AR,54.63,clear sky,-31.5375,-68.5364,Hotel Provincial
476,Faanui,PF,78.66,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
477,Galesong,ID,78.82,clear sky,-5.3166,119.3661,Sapriadi Appy
479,Nishihara,JP,81.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
480,Kapuskasing,CA,60.89,few clouds,49.4169,-82.4331,Park Inn Motel
481,Horta,PT,70.93,overcast clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
482,Huilong,CN,82.04,few clouds,31.8111,121.655,Hilton Garden Inn Qidong
483,Fiumicino,IT,61.34,clear sky,41.7675,12.2291,Al Porticciolo Hotel
485,Ambam,CM,68.5,moderate rain,2.3833,11.2833,Escapade De La Vallée
487,Cidreira,BR,62.85,overcast clouds,-30.1811,-50.2056,Hotel Castelo
488,Nizwa,OM,78.39,clear sky,22.9333,57.5333,Orient Apartments
489,Karaton,ID,84.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
